state_name,district_name,sub_district_name,villages
ANDAMAN NICOBAR ISLAND,Nicobars,Car Nicobar,16
ANDAMAN NICOBAR ISLAND,North  & Middle Andaman,Diglipur,81
ANDHRA PRADESH,Adilabad,Gudihathnoor,21
ANDHRA PRADESH,Adilabad,Kasipet,19
ANDHRA PRADESH,Adilabad,Mamda,33
ANDHRA PRADESH,Adilabad,Mandamarri,9
ANDHRA PRADESH,Adilabad,Tandur,24
ANDHRA PRADESH,Adilabad,Wankdi,37
ANDHRA PRADESH,Anantapur,Bukkapatnam,8
ANDHRA PRADESH,Anantapur,Gorantla,21
ANDHRA PRADESH,Anantapur,Kambadur,12
ANDHRA PRADESH,Anantapur,Kothacheruvu,23
ANDHRA PRADESH,Anantapur,Mudigubba,27
ANDHRA PRADESH,Anantapur,Nambulipulikunta,12
ANDHRA PRADESH,Anantapur,Pamidi,22
ANDHRA PRADESH,Anantapur,Peddapappur,17
ANDHRA PRADESH,Anantapur,Peddavadugur,24
ANDHRA PRADESH,Anantapur,Putlur,17
ANDHRA PRADESH,Anantapur,Singanamala,22
ANDHRA PRADESH,Anantapur,Tanakal,20
ANDHRA PRADESH,Anantapur,Vajrakarur,16
ANDHRA PRADESH,Anantapur,Yellanur,19
ANDHRA PRADESH,Chittoor,B.Kothakota,9
ANDHRA PRADESH,Chittoor,Bangarupalem,27
ANDHRA PRADESH,Chittoor,Chittoor,31
ANDHRA PRADESH,Chittoor,Karvetinagar,26
ANDHRA PRADESH,Chittoor,Madanapalle,15
ANDHRA PRADESH,Chittoor,Somala,13
ANDHRA PRADESH,Chittoor,Srirangarajapuram,38
ANDHRA PRADESH,Chittoor,Valmikipuram,17
ANDHRA PRADESH,East Godavari,I. Polavaram,11
ANDHRA PRADESH,East Godavari,Mandapeta,12
ANDHRA PRADESH,East Godavari,Rajanagaram,17
ANDHRA PRADESH,East Godavari,Uppalaguptam,14
ANDHRA PRADESH,Guntur,Chebrolu,11
ANDHRA PRADESH,Guntur,Dachepalle,12
ANDHRA PRADESH,Guntur,Kollur,12
ANDHRA PRADESH,Guntur,Muppalla,10
ANDHRA PRADESH,Guntur,Prathipadu,10
ANDHRA PRADESH,Guntur,Rajupalem,8
ANDHRA PRADESH,Guntur,Rompicherla,14
ANDHRA PRADESH,Guntur,Tadepalle,7
ANDHRA PRADESH,Karimnagar,Bejjanki,25
ANDHRA PRADESH,Karimnagar,Bheemadevarpalle,15
ANDHRA PRADESH,Karimnagar,Chigurumamidi,11
ANDHRA PRADESH,Karimnagar,Jagtial,19
ANDHRA PRADESH,Karimnagar,Kamanpur,23
ANDHRA PRADESH,Karimnagar,Koratla,14
ANDHRA PRADESH,Karimnagar,Mahadevpur,49
ANDHRA PRADESH,Karimnagar,Metpalle,13
ANDHRA PRADESH,Karimnagar,Mustabad,16
ANDHRA PRADESH,Karimnagar,Ramadugu,19
ANDHRA PRADESH,Karimnagar,Srirampur,17
ANDHRA PRADESH,Khammam,Garla,11
ANDHRA PRADESH,Khammam,Julurpad,8
ANDHRA PRADESH,Khammam,Palwancha,19
ANDHRA PRADESH,Krishna,Gannavaram,25
ANDHRA PRADESH,Krishna,Gudivada,29
ANDHRA PRADESH,Krishna,Kruthivennu,15
ANDHRA PRADESH,Krishna,Machilipatnam,28
ANDHRA PRADESH,Krishna,Mylavaram,18
ANDHRA PRADESH,Krishna,Nagayalanka,11
ANDHRA PRADESH,Krishna,Pamarru,26
ANDHRA PRADESH,Krishna,Pamidimukkala,28
ANDHRA PRADESH,Krishna,Pedana,30
ANDHRA PRADESH,Krishna,Vatsavai,26
ANDHRA PRADESH,Krishna,Vuyyuru,13
ANDHRA PRADESH,Kurnool,Adoni,42
ANDHRA PRADESH,Kurnool,Banaganapalle,37
ANDHRA PRADESH,Kurnool,Chagalamarri,19
ANDHRA PRADESH,Kurnool,Holagunda,20
ANDHRA PRADESH,Kurnool,Kowthalam,35
ANDHRA PRADESH,Kurnool,Veldurthi,16
ANDHRA PRADESH,Mahbubnagar,Doulathabad,26
ANDHRA PRADESH,Mahbubnagar,Jadcherla,28
ANDHRA PRADESH,Mahbubnagar,Maldakal,19
ANDHRA PRADESH,Mahbubnagar,Nagarkurnool,24
ANDHRA PRADESH,Mahbubnagar,Uppununthala,22
ANDHRA PRADESH,Medak,Alladurg,20
ANDHRA PRADESH,Medak,Chegunta,28
ANDHRA PRADESH,Medak,Kalher,25
ANDHRA PRADESH,Medak,Kondapak,21
ANDHRA PRADESH,Medak,Pulkal,30
ANDHRA PRADESH,Medak,Raikode,37
ANDHRA PRADESH,Medak,Shankarampet (A),24
ANDHRA PRADESH,Medak,Shivampet,27
ANDHRA PRADESH,Medak,Thoguta,16
ANDHRA PRADESH,Nalgonda,Thirumalgiri,16
ANDHRA PRADESH,Nizamabad,Makloor,22
ANDHRA PRADESH,Nizamabad,Mortad,17
ANDHRA PRADESH,Nizamabad,Yellareddy,30
ANDHRA PRADESH,Prakasam,Inkollu,9
ANDHRA PRADESH,Prakasam,Janakavarampanguluru,15
ANDHRA PRADESH,Prakasam,Kanigiri,39
ANDHRA PRADESH,Prakasam,Naguluppala Padu,18
ANDHRA PRADESH,Prakasam,Tripuranthakam,18
ANDHRA PRADESH,Prakasam,Zarugumilli,25
ANDHRA PRADESH,Rangareddy,Marpalle,28
ANDHRA PRADESH,Rangareddy,Pargi,37
ANDHRA PRADESH,Rangareddy,Qutubullapur,9
ANDHRA PRADESH,Rangareddy,Yelal,34
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,Chillakur,29
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,Kota,19
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,Manubolu,18
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,Nellore,26
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,Sullurpeta,41
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,Sydapuram,36
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,Tada,24
ANDHRA PRADESH,Srikakulam,Sarubujjili,47
ANDHRA PRADESH,Srikakulam,Seethampeta,118
